Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Status
marine-collagen-gummies,Marine Collagen Gummies,"<p>5 g of type I marine collagen peptides per serving — a beauty booster for skin elasticity, hydration and healthy joints. Boosted with vitamin C, hyaluronic acid and silicon.</p>",UpHealth,Gummies,"format:gummies, state:beauty, sugar-free, sale, hit",TRUE,Flavour,Cherry,UH-MCG-CHE,100,32,39,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-27-59.jpg,active
marine-collagen-gummies,,,,,,,Flavour,Mango,UH-MCG-MAN,100,32,39,TRUE,TRUE,,active
marine-collagen-gummies,,,,,,,Flavour,Berry mix,UH-MCG-BER,100,32,39,TRUE,TRUE,,active
vanilla-whey-protein,Vanilla Whey Protein,"<p>24 g of protein per scoop with a clean, dialled-in vanilla. Mixes without clumps.</p>",UpHealth,Protein,"format:protein, state:strength, gluten-free, new",TRUE,Flavour,Vanilla,UH-VWP-VAN,100,48,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-28-02.jpg,active
energy-sticks,Energy Sticks,"<p>Steady, crash-free energy in a citrus stick — clean fuel without the jitters.</p>",UpHealth,Sticks,"format:sticks, state:energy, vegan, sugar-free",TRUE,Flavour,Citrus,UH-ENS-CIT,100,24,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-28-00.jpg,active
sleep-sticks,Sleep Sticks,"<p>Calming minerals to help the body wind down and reset overnight. Non habit-forming.</p>",UpHealth,Sticks,"format:sticks, state:sleep, sugar-free, vegan",TRUE,Flavour,Mint,UH-SLS-MIN,100,28,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-28-02.jpg,active
greens-drink,Greens Drink,"<p>A daily greens blend with apple — supports energy and everyday wellness.</p>",UpHealth,Drinks,"format:drinks, state:energy, vegan, gluten-free, hit",TRUE,Flavour,Apple,UH-GRD-APP,100,36,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-28-00.jpg,active
relax-tea,Relax Tea,"<p>Chamomile sachets to soften the edges of a busy day.</p>",UpHealth,Drinks,"format:drinks, state:relax, vegan, gluten-free",TRUE,Flavour,Chamomile,UH-RLT-CHA,100,18,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-28-04.jpg,active
beauty-powder,Beauty Powder,"<p>A berry beauty blend for skin, hair and nails from within.</p>",UpHealth,Protein,"format:protein, state:beauty, gluten-free",TRUE,Flavour,Berry,UH-BTP-BER,100,42,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-27-59.jpg,active
strength-stack,Strength Stack,"<p>An unflavoured daily stack for training, recovery and lean strength.</p>",UpHealth,Protein,"format:protein, state:strength, gluten-free, new",TRUE,Flavour,Unflavored,UH-STS-UNF,100,54,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-28-04.jpg,active
beauty-bundle,Beauty Bundle,"<p>Marine Collagen Gummies + Beauty Powder — the full glow routine, save 15%.</p>",UpHealth,Bundles,"format:bundles, state:beauty, sale, bundle",TRUE,Set,Gummies + Powder,UH-BBN-SET,100,62,74,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-27-57.jpg,active
energy-bundle,Energy Bundle,"<p>Energy Sticks + Greens Drink — the daily lift, save 20%.</p>",UpHealth,Bundles,"format:bundles, state:energy, sale, bundle",TRUE,Set,Sticks + Drink,UH-EBN-SET,100,48,60,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-27-57.jpg,active
calm-sticks,Calm Sticks,"<p>Lavender sticks for a calm, balanced afternoon reset.</p>",UpHealth,Sticks,"format:sticks, state:relax, vegan",TRUE,Flavour,Lavender,UH-CLS-LAV,100,26,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-28-04.jpg,active
recovery-drink,Recovery Drink,"<p>Pineapple recovery drink to bounce back after training.</p>",UpHealth,Drinks,"format:drinks, state:strength, gluten-free",TRUE,Flavour,Pineapple,UH-RCD-PIN,100,38,,TRUE,TRUE,assets/image/png/photo_2026-06-01_10-28-02.jpg,active
